Code,Append to js?,中文,ENG
CCYLT,,應林堂,Ying Lin Tang
NACHH,,知行樓,Chih Hsing Hall
NAXH,,學思樓,Xuesi Hall
NAGTH,,志文樓,Grace Tien Hall
NADLH,,紫霞樓,Daisy Li Hall
UCASR,,湯若望宿舍,Adam Schall Residence
UCBH,,伯利衡宿舍,Bethlehem Hall
UCHSH,,恒生樓,Hang Seng Hall
SHAWKMH,,國楙樓,Kuo Mou Hall
SHAWSHII,,逸夫第二學生宿舍,Shaw Student Hostel II
MSH,,晨興書院宿舍,Morningside Hostel
SHHTH,,何添堂,Ho Tim Hall
SHLQW,,利國偉堂,Lee Quo Wei Hall
CWH,,敬文書院宿舍,CW Chu Hostel
WYSH,,伍宜孫書院宿舍,Wu Yee Sun Hostel
WSFFH,,顧鐵華費肇芬伉儷樓,
WSNH,,和聲北座,
LGS,,民主女神像,Liberty Goddess Statue
YIAE,,七小龍,
CCEXP,,小橋流水,
AIT,,綜合教學大樓,
THRB,,三兄弟,
UCMIR,,聯合鏡房,
